  PID TTY           TIME CMD
  277 ??         0:02.13 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  278 ??         0:00.07 /usr/libexec/colorsyncd
  287 ??         0:00.17 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  290 ??         0:00.03 /usr/libexec/bootinstalld
  295 ??         0:28.17 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  296 ??         0:00.04 /System/Library/PrivateFrameworks/EmbeddedOSInstall.framework/Versions/A/XPCServices/EmbeddedOSInstallService.xpc/Contents/MacOS/EmbeddedOSInstallService
  302 ??         0:00.67 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  303 ??         0:00.03 /usr/sbin/distnoted agent
  305 ??         0:00.03 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  308 ??         0:00.02 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  314 ??         0:00.15 /System/Library/CoreServices/sharedfilelistd
  323 ??         0:00.13 /usr/libexec/captiveagent
  324 ??         0:00.30 /usr/libexec/findmydeviced
  325 ??         0:00.03 /usr/sbin/netbiosd
  330 ??         0:00.13 /System/Library/CoreServices/iconservicesagent runAsRoot
  333 ??         0:00.26 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
  334 ??         0:00.56 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  335 ??         0:00.02 /usr/libexec/securityd_service
  336 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  337 ??         0:00.06 /usr/libexec/nsurlstoraged --privileged
  339 ??         0:00.08 /usr/libexec/biokitaggdd
  340 ??         0:00.44 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  343 ??         0:01.42 /usr/sbin/cfprefsd agent
  344 ??         0:01.00 /usr/libexec/UserEventAgent (Aqua)
  346 ??         0:01.34 /usr/sbin/distnoted agent
  347 ??         0:01.44 /usr/sbin/universalaccessd launchd -s
  348 ??         0:00.72 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  349 ??         0:00.87 /usr/libexec/lsd
  350 ??         0:03.86 /usr/libexec/trustd --agent
  354 ??         0:00.56 /System/Library/CoreServices/talagent
  355 ??         0:03.62 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  356 ??         0:01.67 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  357 ??         0:08.66 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  359 ??         0:35.81 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  361 ??         0:03.21 /usr/libexec/secd
  363 ??         0:00.31 /usr/libexec/pboard
  366 ??         0:00.44 /System/Library/CoreServices/sharedfilelistd
  367 ??         0:02.49 /usr/libexec/pkd
  370 ??         0:00.59 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  372 ??         0:01.44 /System/Library/CoreServices/iconservicesagent
  373 ??         0:01.04 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  375 ??         0:00.05 /usr/sbin/WirelessRadioManagerd
  376 ??         0:00.78 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  378 ??         0:00.68 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  379 ??         0:12.24 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  380 ??         0:00.43 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  381 ??         0:00.41 /usr/sbin/filecoordinationd
  382 ??         0:03.41 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  383 ??         0:06.06 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  384 ??         0:00.18 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  385 ??         0:04.42 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  387 ??         0:03.00 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  389 ??         0:01.30 /usr/libexec/nsurlsessiond
  390 ??         0:02.19 /Applications/Avast.app/Contents/Backend/services/com.avast.fileshield
  391 ??         0:00.25 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  393 ??         0:00.54 /usr/libexec/secinitd
  398 ??         0:01.43 /Applications/Avast.app/Contents/Backend/services/com.avast.service
  400 ??         0:00.09 /usr/libexec/nfcd
  401 ??         0:00.05 /usr/sbin/wirelessproxd
  402 ??         0:00.12 /usr/libexec/rapportd
  403 ??         0:00.53 /usr/sbin/usernoted
  409 ??         0:01.31 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  410 ??         0:00.17 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  411 ??         0:00.55 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
  412 ??         0:01.50 /usr/libexec/nsurlstoraged
  413 ??         0:00.20 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  414 ??         0:00.94 /usr/libexec/sharingd
  415 ??         0:00.33 /usr/libexec/fmfd
  416 ??         0:00.15 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  417 ??         0:01.10 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/MacOS/com.apple.iCloudHelper
  419 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  420 ??         0:00.19 /System/Library/CoreServices/backgroundtaskmanagementagent
  422 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  423 ??         0:01.43 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  424 ??         0:04.23 /Applications/Flux.app/Contents/MacOS/Flux
  425 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  426 ??         0:00.47 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  428 ??         0:02.77 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  429 ??         0:00.72 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  430 ??         0:00.62 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  433 ??         0:00.23 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  434 ??         0:00.20 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  435 ??         0:00.30 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  436 ??         0:00.09 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
